,House_age,Remodeled,YearRemodAdd,YearBuilt,TotRmsAbvGrd,FullBath,1stFlrSF,TotalBsmtSF,GarageArea,GarageCars,TotalSF,OverallQual,Neighborhood,BsmtQual,HeatingQC,KitchenQual,GarageFinish,GarageType,SaleType,SalePrice
197,88,16,1990,1918,8,2,1360,1360.0,795.0,2.0,2720,8,NAmes,TA,Gd,Gd,Unf,Detchd,WD,235000.0
198,97,59,1950,1912,8,1,929,755.0,0.0,0.0,1858,6,OldTown,TA,Ex,TA,Unf,Unbuilt,WD,104000.0
199,5,4,2005,2004,7,2,1713,1713.0,856.0,3.0,1713,8,NridgHt,Ex,Ex,Ex,Fin,Attchd,WD,274900.0
200,7,6,2004,2003,5,2,1121,1121.0,440.0,2.0,1121,4,Edwards,Gd,Ex,TA,RFn,Attchd,WD,140000.0
201,31,31,1977,1977,6,2,1279,1196.0,473.0,2.0,1279,6,Mitchel,TA,TA,TA,Unf,Detchd,WD,171500.0
202,82,56,1950,1924,6,2,865,617.0,398.0,1.0,1310,6,OldTown,Fa,Gd,TA,Unf,Attchd,COD,112000.0
203,4,4,2004,2004,3,1,848,848.0,420.0,2.0,848,6,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,149000.0
204,62,59,1950,1947,5,1,720,720.0,240.0,1.0,1284,5,OldTown,TA,TA,TA,Unf,Detchd,WD,110000.0
205,19,19,1990,1990,5,2,1442,1424.0,500.0,2.0,1442,7,Gilbert,Gd,Ex,TA,RFn,Attchd,WD,180500.0
206,45,45,1962,1962,8,1,1696,1140.0,349.0,1.0,1696,5,Sawyer,TA,TA,TA,RFn,Attchd,WD,143900.0
207,48,48,1960,1960,6,1,1100,1100.0,312.0,1.0,1100,4,NAmes,TA,TA,TA,RFn,Attchd,WD,141000.0
208,19,18,1989,1988,7,2,1180,1157.0,454.0,2.0,2062,7,SawyerW,Gd,Ex,TA,Fin,Attchd,WD,277000.0
209,44,44,1964,1964,6,1,1092,1092.0,504.0,2.0,1092,6,NAmes,Gd,Ex,TA,RFn,Attchd,WD,145000.0
210,83,58,1950,1925,5,1,864,864.0,0.0,0.0,864,5,Edwards,TA,TA,TA,Unf,Unbuilt,WD,98000.0
211,1,1,2009,2009,6,2,1212,1212.0,460.0,2.0,1212,6,Edwards,Gd,Ex,Gd,RFn,Attchd,WD,186000.0
212,0,0,2009,2009,7,2,932,900.0,644.0,2.0,1852,7,Somerst,Gd,Ex,Gd,RFn,Attchd,New,252678.0
213,11,11,1995,1995,5,1,990,990.0,576.0,2.0,990,5,CollgCr,Gd,Ex,TA,Unf,Attchd,WD,156000.0
214,33,33,1977,1977,6,1,689,689.0,299.0,1.0,1392,6,CollgCr,Gd,Ex,TA,Fin,Attchd,WD,161750.0
215,49,10,1996,1957,6,1,1236,1070.0,447.0,1.0,1236,5,NAmes,TA,TA,Gd,Unf,Attchd,WD,134450.0
216,4,4,2004,2004,8,2,1436,1436.0,484.0,2.0,1436,7,CollgCr,Gd,Ex,Gd,Unf,Attchd,WD,210000.0
217,81,56,1950,1925,8,1,810,686.0,210.0,1.0,1328,4,OldTown,TA,Fa,TA,Unf,Detchd,WD,107000.0
218,69,2,2006,1939,8,1,1137,798.0,431.0,2.0,1954,7,Crawfor,TA,Ex,Gd,Unf,Attchd,WD,311500.0
219,1,0,2006,2005,5,2,1248,1248.0,438.0,2.0,1248,7,Blmngtn,Gd,Ex,Gd,Fin,Attchd,New,167240.0
220,0,0,2006,2006,5,2,1498,1498.0,675.0,2.0,1498,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,New,204900.0
221,7,7,2002,2002,8,2,1010,1010.0,390.0,2.0,2267,6,Gilbert,Gd,Ex,Gd,RFn,BuiltIn,ConLI,200000.0
222,31,31,1975,1975,6,2,811,713.0,434.0,2.0,1552,6,NWAmes,Gd,TA,TA,RFn,Attchd,WD,179900.0
223,38,38,1971,1971,4,1,864,864.0,576.0,2.0,864,4,NAmes,TA,Gd,TA,Unf,Detchd,WD,97000.0
224,6,6,2003,2003,8,2,2392,2392.0,968.0,3.0,2392,10,NridgHt,Ex,Ex,Ex,Fin,Attchd,WD,386250.0
225,38,38,1971,1971,6,2,630,630.0,280.0,1.0,1302,5,BrDale,TA,TA,TA,Unf,Detchd,COD,112000.0
226,12,12,1995,1995,9,2,1214,1203.0,721.0,3.0,2520,7,NoRidge,Gd,Ex,Gd,RFn,Attchd,WD,290000.0
227,38,38,1970,1970,5,1,483,483.0,280.0,1.0,987,6,BrDale,TA,TA,TA,Unf,Detchd,WD,106000.0
228,43,43,1967,1967,5,1,912,912.0,336.0,1.0,912,5,Sawyer,TA,TA,TA,Unf,Detchd,WD,125000.0
229,4,3,2006,2005,7,2,1555,1373.0,430.0,2.0,1555,7,Blmngtn,Gd,Ex,Gd,Fin,Attchd,WD,192500.0
230,51,51,1959,1959,6,1,1194,1194.0,312.0,1.0,1194,6,NAmes,TA,TA,TA,RFn,Attchd,WD,148000.0
231,14,13,1996,1995,9,2,1490,1462.0,810.0,3.0,2794,8,NoRidge,Gd,Ex,Ex,Fin,Attchd,WD,403000.0
232,34,34,1972,1972,5,1,483,483.0,288.0,1.0,987,6,BrDale,TA,TA,TA,Unf,Attchd,WD,94500.0
233,34,34,1976,1976,5,1,894,894.0,308.0,1.0,894,5,CollgCr,TA,TA,TA,Unf,Attchd,WD,128200.0
234,8,8,2002,2002,8,2,860,860.0,440.0,2.0,1960,6,Gilbert,Gd,Ex,Gd,Fin,BuiltIn,WD,216500.0
235,37,37,1971,1971,5,1,483,483.0,264.0,1.0,987,6,BrDale,TA,TA,TA,Unf,Detchd,WD,89500.0
236,6,6,2004,2004,6,2,1414,1414.0,494.0,2.0,1414,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,185500.0
237,17,7,2003,1993,7,2,1014,996.0,457.0,2.0,1744,7,SawyerW,Gd,Ex,Gd,RFn,Attchd,WD,194500.0
238,0,0,2007,2007,7,2,1694,1694.0,818.0,3.0,1694,8,NridgHt,Ex,Ex,Gd,Fin,Attchd,New,318000.0
239,65,60,1950,1945,7,1,798,735.0,220.0,1.0,1487,6,Edwards,TA,TA,TA,Unf,Detchd,WD,113000.0
240,2,2,2008,2008,7,2,1566,1566.0,750.0,2.0,1566,8,Somerst,Gd,Ex,Gd,RFn,Attchd,WD,262500.0
241,62,10,1997,1945,4,1,866,686.0,0.0,0.0,866,5,OldTown,TA,Gd,Gd,Unf,Unbuilt,WD,110500.0
242,106,56,1950,1900,6,1,889,540.0,352.0,1.0,1440,5,OldTown,TA,Gd,TA,Unf,Attchd,WD,79000.0
243,29,29,1980,1980,6,1,626,626.0,288.0,1.0,1217,6,SawyerW,Gd,TA,TA,RFn,Attchd,WD,120000.0
244,16,8,2002,1994,8,2,1222,948.0,463.0,2.0,2110,7,SawyerW,Gd,Ex,Gd,RFn,Attchd,WD,205000.0
245,18,18,1988,1988,6,2,1872,1845.0,604.0,2.0,1872,7,NWAmes,Gd,Gd,TA,Fin,Attchd,WD,241500.0
246,96,56,1950,1910,9,2,908,1020.0,440.0,1.0,1928,6,OldTown,Fa,Gd,Fa,Unf,Detchd,WD,137000.0
247,52,52,1954,1954,5,1,1375,1367.0,451.0,2.0,1375,6,NAmes,TA,Ex,TA,Unf,Attchd,WD,140000.0
248,4,4,2003,2003,8,2,840,840.0,500.0,2.0,1668,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,180000.0
249,49,1,2006,1958,7,2,1444,1444.0,389.0,2.0,2144,6,ClearCr,Gd,Gd,Gd,Fin,Attchd,WD,277000.0
250,70,44,1966,1940,6,1,1306,728.0,0.0,0.0,1306,3,BrkSide,TA,Ex,Fa,Unf,Unbuilt,WD,76500.0
251,1,0,2007,2006,5,2,1625,1573.0,538.0,2.0,1625,8,Crawfor,Gd,Ex,Gd,Fin,Attchd,WD,235000.0
252,4,4,2004,2004,6,2,798,798.0,520.0,2.0,1640,6,SawyerW,Gd,Ex,Gd,RFn,Attchd,WD,173000.0
253,43,16,1991,1964,7,2,1302,1302.0,309.0,1.0,1302,6,NAmes,Gd,Ex,Gd,RFn,Attchd,CWD,158000.0
254,53,53,1957,1957,5,1,1314,1314.0,294.0,1.0,1314,5,NAmes,TA,TA,TA,RFn,Attchd,WD,145000.0
255,7,7,1999,1999,8,2,1005,975.0,429.0,2.0,2291,7,Gilbert,Gd,Ex,Gd,Fin,BuiltIn,WD,230000.0
256,5,5,2003,2003,7,2,864,864.0,673.0,2.0,1728,6,Somerst,Gd,Ex,Gd,RFn,Attchd,WD,207500.0
257,3,3,2006,2006,8,2,1604,1604.0,660.0,2.0,1604,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,220000.0
258,7,7,2001,2001,7,2,963,963.0,564.0,2.0,1792,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,231500.0
259,52,52,1956,1956,4,1,882,0.0,308.0,1.0,882,5,OldTown,None,Gd,TA,Unf,Detchd,WD,97000.0
260,47,47,1962,1962,6,1,1382,1362.0,884.0,2.0,1382,6,NAmes,TA,TA,TA,Unf,Attchd,WD,176000.0
261,0,0,2007,2007,10,2,1482,1482.0,868.0,3.0,2574,8,CollgCr,Ex,Ex,Ex,Fin,BuiltIn,New,276000.0
262,29,11,1995,1977,6,1,1212,506.0,492.0,2.0,1212,6,Sawyer,Gd,TA,TA,Unf,Attchd,WD,151000.0
263,81,9,2001,1929,6,1,926,926.0,484.0,2.0,926,5,OldTown,TA,TA,TA,Unf,Detchd,WD,130000.0
264,83,4,2004,1925,4,1,764,680.0,504.0,2.0,764,5,OldTown,Fa,Gd,TA,Unf,Detchd,WD,73000.0
265,27,27,1981,1981,7,2,1422,1422.0,576.0,2.0,1422,6,NWAmes,Gd,TA,Gd,Fin,Attchd,WD,175500.0
266,9,9,1997,1997,8,2,802,802.0,413.0,2.0,1511,6,Gilbert,Gd,Gd,TA,Fin,Attchd,WD,185000.0
267,69,11,1997,1939,8,2,1052,720.0,240.0,1.0,1772,5,SWISU,TA,Ex,Gd,Unf,Detchd,WD,179500.0
268,68,53,1955,1940,4,1,778,740.0,924.0,1.0,778,5,IDOTRR,TA,Ex,TA,Fin,Detchd,WD,120500.0
269,31,31,1976,1976,6,1,1113,1143.0,504.0,1.0,1113,6,Edwards,TA,TA,TA,RFn,Attchd,WD,148000.0
270,0,0,2006,2006,8,2,1095,1095.0,1053.0,3.0,1939,8,Somerst,Gd,Gd,Gd,RFn,Attchd,New,266000.0
271,54,3,2005,1954,5,1,1363,1385.0,439.0,2.0,1363,7,ClearCr,Gd,Ex,TA,Unf,Attchd,WD,241500.0
272,11,3,2007,1999,9,2,1164,1152.0,671.0,3.0,2270,8,NoRidge,Gd,Ex,Gd,Fin,Attchd,WD,290000.0
273,51,21,1988,1958,6,2,1632,1240.0,338.0,1.0,1632,6,NAmes,TA,Gd,TA,RFn,Attchd,WD,139000.0
274,25,25,1982,1982,5,1,816,816.0,264.0,1.0,816,5,Mitchel,TA,TA,TA,Unf,Attchd,WD,124500.0
275,84,2,2007,1925,5,2,952,952.0,672.0,2.0,1548,7,BrkSide,TA,Gd,Ex,Unf,Detchd,WD,205000.0
276,7,7,2003,2003,7,2,1560,1560.0,573.0,2.0,1560,7,Mitchel,Ex,Ex,Gd,Fin,Attchd,WD,201000.0
277,59,59,1951,1951,4,1,864,864.0,400.0,2.0,864,4,Gilbert,TA,Ex,TA,Unf,Detchd,WD,141000.0
278,1,0,2007,2006,8,2,2121,2121.0,732.0,3.0,2121,9,NridgHt,Ex,Ex,Ex,Fin,Attchd,New,415298.0
279,31,31,1977,1977,8,2,1156,1160.0,505.0,2.0,2022,7,ClearCr,Gd,Ex,TA,Fin,Attchd,WD,192000.0
280,18,18,1989,1989,7,2,1175,807.0,575.0,2.0,1982,7,SawyerW,Gd,Gd,Gd,Fin,Attchd,WD,228500.0
281,0,0,2006,2006,5,2,1262,1262.0,572.0,2.0,1262,6,Somerst,Gd,Gd,Gd,Fin,Attchd,New,185000.0
282,2,1,2008,2007,6,2,1314,1314.0,626.0,2.0,1314,7,NridgHt,Gd,Ex,Gd,RFn,Attchd,ConLw,207500.0
283,1,0,2009,2008,6,2,1468,1468.0,898.0,3.0,1468,8,Somerst,Gd,Ex,Gd,Fin,Attchd,New,244600.0
284,15,15,1992,1992,5,2,1575,1575.0,529.0,2.0,1575,6,SawyerW,Gd,Gd,Gd,RFn,Attchd,WD,179200.0
285,1,0,2007,2006,5,2,625,625.0,528.0,2.0,1250,7,Somerst,Gd,Ex,Gd,RFn,Detchd,New,164700.0
286,44,25,1981,1962,7,1,1085,912.0,440.0,2.0,1734,6,NAmes,TA,TA,Gd,RFn,Attchd,WD,159000.0
287,35,35,1971,1971,5,1,858,858.0,0.0,0.0,858,4,NAmes,TA,TA,TA,Unf,Unbuilt,WD,88000.0
288,43,43,1967,1967,5,1,900,882.0,280.0,1.0,900,5,Sawyer,TA,TA,TA,Unf,Detchd,WD,122000.0
289,92,4,2003,1915,7,1,698,698.0,384.0,1.0,1396,6,BrkSide,TA,Ex,TA,Unf,Detchd,WD,153575.0
290,0,0,2006,2006,8,2,1079,1079.0,685.0,2.0,1919,8,CollgCr,Gd,Ex,Gd,RFn,Attchd,New,233230.0
291,96,8,2000,1912,9,2,936,780.0,0.0,0.0,1716,5,SWISU,TA,Ex,Fa,Unf,Unbuilt,WD,135900.0
292,60,1,2008,1949,8,1,1148,768.0,281.0,1.0,1716,5,Edwards,TA,Gd,TA,Unf,Attchd,WD,131000.0
293,29,12,1994,1977,9,2,1468,795.0,539.0,2.0,2263,7,NWAmes,TA,Fa,Gd,Fin,Attchd,WD,235000.0
294,56,56,1953,1953,7,1,1644,1416.0,418.0,2.0,1644,6,NAmes,TA,TA,TA,Fin,Attchd,WD,167000.0
295,22,22,1984,1984,6,1,1003,1003.0,588.0,2.0,1003,6,Mitchel,TA,TA,TA,Unf,Detchd,WD,142500.0
296,57,57,1950,1950,6,1,910,910.0,282.0,1.0,1558,5,IDOTRR,TA,TA,TA,Unf,Attchd,WD,152000.0
297,10,9,1998,1997,7,2,975,975.0,576.0,2.0,1950,7,Somerst,Gd,Ex,Gd,RFn,Detchd,WD,239000.0
298,39,39,1968,1968,7,1,1041,702.0,539.0,2.0,1743,6,NWAmes,TA,Gd,TA,Unf,Attchd,WD,175000.0
299,59,5,2004,1950,6,1,1152,1092.0,300.0,1.0,1152,6,Crawfor,TA,Ex,Gd,Unf,Attchd,WD,158500.0
300,53,53,1953,1953,5,1,1336,1165.0,375.0,1.0,1336,5,Crawfor,TA,TA,TA,Unf,Attchd,WD,157000.0
301,9,8,1999,1998,9,2,1210,1028.0,683.0,2.0,2452,8,CollgCr,Gd,Ex,Gd,Fin,BuiltIn,WD,267000.0
302,5,4,2002,2001,6,2,1541,1541.0,843.0,3.0,1541,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,205000.0
303,34,34,1972,1972,5,1,894,894.0,552.0,2.0,894,5,CollgCr,TA,TA,TA,Unf,Attchd,WD,149900.0
304,128,6,2002,1880,10,3,1675,1470.0,870.0,3.0,3493,7,OldTown,TA,Ex,Gd,Unf,Attchd,WD,295000.0
305,3,2,2005,2004,8,2,2000,2000.0,888.0,3.0,2000,8,CollgCr,Gd,Ex,Gd,Fin,Attchd,WD,305900.0
306,17,16,1991,1990,8,2,1122,700.0,746.0,3.0,2243,7,SawyerW,Gd,Gd,Gd,RFn,Attchd,WD,225000.0
307,88,58,1950,1920,6,1,1035,319.0,0.0,0.0,1406,6,IDOTRR,TA,TA,Fa,Unf,Unbuilt,WD,89500.0
308,69,59,1950,1940,4,1,861,861.0,539.0,2.0,861,4,Edwards,TA,Ex,TA,Unf,Detchd,WD,82500.0
309,3,2,2004,2003,8,2,1944,1896.0,708.0,3.0,1944,9,NridgHt,Ex,Ex,Ex,Fin,Attchd,WD,360000.0
310,13,12,1994,1993,6,2,697,697.0,420.0,2.0,1501,6,Gilbert,Gd,Gd,Gd,Fin,Attchd,WD,165600.0
311,61,7,2002,1948,5,1,972,972.0,240.0,1.0,972,6,NAmes,TA,Ex,TA,Unf,Detchd,WD,132000.0
312,67,56,1950,1939,5,1,793,793.0,410.0,2.0,1118,5,OldTown,Gd,TA,TA,Unf,Detchd,WD,119900.0
313,44,44,1965,1965,8,2,2036,2136.0,513.0,2.0,2036,7,Timber,Gd,TA,TA,RFn,Attchd,WD,375000.0
314,81,16,1990,1925,6,1,832,728.0,546.0,2.0,1641,7,OldTown,TA,Ex,Ex,Unf,Detchd,WD,178000.0
315,5,4,2005,2004,6,2,716,716.0,432.0,2.0,1432,7,Gilbert,Gd,Ex,Gd,Fin,Attchd,WD,188500.0
316,29,29,1980,1980,10,2,1153,845.0,484.0,2.0,2353,7,NWAmes,Gd,TA,Ex,RFn,Attchd,WD,260000.0
317,1,1,2006,2006,8,2,1088,1088.0,1025.0,3.0,1959,8,Somerst,Gd,Ex,Gd,RFn,Attchd,WD,270000.0
318,16,16,1993,1993,9,2,1372,1347.0,656.0,3.0,2646,7,NoRidge,Gd,Ex,Gd,RFn,Attchd,WD,260000.0
319,29,29,1980,1980,6,2,1472,1372.0,588.0,2.0,1472,7,NWAmes,Gd,TA,TA,Unf,Attchd,WD,187500.0
320,0,0,2006,2006,9,3,1249,1249.0,840.0,3.0,2596,9,NridgHt,Ex,Ex,Gd,RFn,Attchd,New,342643.0
321,3,3,2004,2004,10,2,1136,1136.0,872.0,3.0,2468,8,NridgHt,Ex,Ex,Gd,Fin,BuiltIn,WD,354000.0
322,21,20,1987,1986,8,2,1553,1502.0,576.0,2.0,2730,7,SawyerW,TA,Ex,Gd,Fin,Attchd,WD,301000.0
323,51,1,2005,1955,6,1,1163,1162.0,220.0,1.0,1163,3,OldTown,TA,Ex,TA,Unf,Attchd,WD,126175.0
324,43,3,2007,1967,11,2,1898,710.0,564.0,2.0,2978,7,NAmes,Gd,Ex,Gd,Fin,BuiltIn,WD,242000.0
325,66,57,1950,1941,5,1,803,720.0,360.0,2.0,803,5,IDOTRR,TA,Po,TA,Unf,Detchd,WD,87000.0
326,15,15,1993,1993,6,1,1719,1719.0,473.0,2.0,1719,8,Veenker,Gd,Ex,Gd,Fin,Attchd,Con,324000.0
327,46,46,1960,1960,7,1,1383,1383.0,292.0,1.0,1383,6,NAmes,TA,TA,TA,RFn,Attchd,WD,145250.0
328,93,15,1994,1916,10,2,1445,844.0,441.0,2.0,2134,6,BrkSide,TA,Gd,Gd,Unf,Detchd,WD,214500.0
329,89,59,1950,1920,6,1,596,596.0,189.0,1.0,1192,5,IDOTRR,TA,TA,TA,Unf,Detchd,WD,78000.0
330,43,43,1964,1964,10,2,1728,1728.0,352.0,1.0,1728,5,NAmes,TA,TA,TA,Unf,Detchd,WD,119000.0
331,49,15,1992,1958,6,1,1056,1056.0,308.0,1.0,1056,5,NAmes,TA,Fa,TA,RFn,Attchd,WD,139000.0
332,6,5,2004,2003,7,2,1629,3206.0,880.0,3.0,1629,8,NridgHt,Gd,Ex,Gd,RFn,Attchd,WD,284000.0
333,4,4,2004,2004,6,2,1358,1358.0,484.0,2.0,1358,7,NridgHt,Gd,Ex,Gd,RFn,Attchd,WD,207000.0
334,10,10,1998,1998,7,2,943,943.0,472.0,2.0,1638,6,Gilbert,Gd,Gd,TA,Fin,Attchd,WD,192000.0
335,43,43,1965,1965,7,2,1619,1499.0,529.0,2.0,1786,5,Timber,TA,Ex,TA,Fin,Attchd,WD,228950.0
336,2,1,2006,2005,8,2,1922,1922.0,676.0,3.0,1922,9,StoneBr,Ex,Ex,Gd,Fin,Attchd,WD,377426.0
337,6,5,2003,2002,7,2,1536,1536.0,532.0,2.0,1536,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,214000.0
338,22,8,1998,1984,8,2,1621,1208.0,440.0,2.0,1621,7,NWAmes,Gd,Ex,Gd,RFn,Attchd,WD,202500.0
339,51,11,1998,1958,6,1,1215,1215.0,297.0,1.0,1215,6,NAmes,TA,TA,TA,Unf,Attchd,WD,155000.0
340,8,8,2002,2002,9,2,993,967.0,431.0,2.0,1908,8,Timber,Gd,Ex,Gd,Fin,Attchd,WD,202900.0
341,59,59,1950,1950,4,1,841,721.0,294.0,1.0,841,4,SawyerW,TA,Gd,TA,Unf,CarPort,WD,82000.0
342,57,56,1950,1949,6,2,1040,0.0,400.0,2.0,1040,3,NAmes,None,Fa,TA,Unf,Detchd,WD,87500.0
343,3,3,2005,2005,6,2,1684,1684.0,564.0,2.0,1684,9,NridgHt,Ex,Ex,Ex,RFn,Attchd,WD,266000.0
344,34,34,1976,1976,4,1,536,536.0,336.0,1.0,1112,5,MeadowV,Gd,TA,TA,Unf,Attchd,WD,85000.0
345,67,56,1950,1939,6,1,972,972.0,312.0,1.0,1577,6,BrkSide,TA,Gd,Fa,Unf,Detchd,WD,140200.0
346,47,9,1998,1960,5,1,958,958.0,301.0,1.0,958,6,NAmes,TA,TA,TA,RFn,Attchd,WD,151500.0
347,49,49,1960,1960,6,2,1478,1478.0,498.0,2.0,1478,6,NAmes,TA,Ex,TA,Unf,Attchd,WD,157500.0
348,5,4,2004,2003,6,2,764,764.0,474.0,2.0,1626,7,NridgHt,Gd,Ex,Gd,RFn,BuiltIn,WD,154000.0
349,1,0,2006,2005,10,2,1848,1848.0,706.0,3.0,2728,9,NridgHt,Ex,Ex,Ex,Fin,Attchd,New,437154.0
350,0,0,2007,2007,6,2,1869,1869.0,617.0,2.0,1869,9,NridgHt,Ex,Ex,Ex,RFn,Attchd,New,318061.0
351,20,20,1986,1986,6,1,1453,1453.0,445.0,2.0,1453,7,ClearCr,Gd,Gd,Gd,RFn,Attchd,WD,190000.0
352,67,58,1950,1941,5,1,616,616.0,200.0,1.0,1111,5,Edwards,TA,TA,TA,Unf,Detchd,ConLw,95000.0
353,82,7,2003,1928,5,1,720,624.0,484.0,2.0,720,6,OldTown,TA,Gd,TA,Unf,Detchd,WD,105900.0
354,66,6,2000,1940,6,1,1192,940.0,240.0,1.0,1595,6,SWISU,TA,Ex,TA,Unf,Attchd,WD,140000.0
355,12,12,1995,1995,6,2,1200,1200.0,521.0,2.0,1200,6,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,177500.0
356,17,17,1992,1992,6,2,1167,1158.0,400.0,2.0,1167,6,Gilbert,Gd,Gd,Gd,RFn,Attchd,WD,173000.0
357,31,31,1976,1976,6,1,1142,1142.0,528.0,2.0,1142,5,MeadowV,Gd,TA,TA,Fin,Attchd,WD,134000.0
358,48,48,1958,1958,6,1,1352,1062.0,288.0,1.0,1352,5,ClearCr,TA,Ex,Gd,Unf,BuiltIn,WD,130000.0
359,8,8,1998,1998,7,2,1086,1086.0,592.0,2.0,1924,8,NoRidge,Gd,Ex,Gd,RFn,Attchd,WD,280000.0
360,29,29,1978,1978,5,1,912,888.0,470.0,2.0,912,6,Mitchel,Gd,Ex,TA,RFn,Attchd,WD,156000.0
361,68,26,1982,1940,8,1,988,883.0,240.0,1.0,1505,5,BrkSide,TA,Gd,TA,Unf,Detchd,WD,145000.0
362,6,6,2003,2003,7,3,495,0.0,672.0,2.0,1922,7,Edwards,None,Ex,Gd,RFn,BuiltIn,ConLD,198500.0
363,37,2,2007,1972,5,1,483,483.0,264.0,1.0,987,6,BrDale,TA,Gd,Gd,Unf,Detchd,WD,118000.0
364,30,30,1976,1976,6,2,790,796.0,566.0,2.0,1574,6,NWAmes,Gd,TA,TA,Fin,Attchd,WD,190000.0
365,89,12,1997,1920,6,1,672,672.0,468.0,1.0,1344,5,IDOTRR,TA,Gd,TA,Unf,Detchd,WD,147000.0
366,46,46,1963,1963,6,1,1394,1394.0,514.0,2.0,1394,6,NAmes,Gd,Gd,TA,RFn,Attchd,WD,159000.0
367,46,46,1962,1962,6,1,1431,1099.0,296.0,1.0,1431,6,NAmes,Gd,Gd,TA,RFn,Basment,WD,165000.0
368,56,56,1954,1954,7,1,1268,1268.0,244.0,1.0,1268,5,NAmes,TA,Gd,TA,Fin,Attchd,WD,132000.0
369,51,4,2006,1959,7,1,1287,1063.0,576.0,2.0,1287,5,NAmes,TA,Ex,Gd,Fin,Detchd,WD,162000.0
370,6,6,2000,2000,7,2,953,953.0,460.0,2.0,1664,6,Gilbert,Gd,Ex,TA,RFn,Attchd,WD,172400.0
371,49,49,1959,1959,7,2,1120,0.0,680.0,2.0,1588,4,ClearCr,None,TA,TA,Fin,Detchd,WD,134432.0
372,26,26,1984,1984,4,1,752,744.0,264.0,1.0,752,6,SawyerW,Gd,TA,TA,Unf,Attchd,WD,125000.0
373,56,56,1953,1953,5,1,1319,608.0,270.0,1.0,1319,5,NAmes,TA,TA,TA,Unf,Attchd,WD,123000.0
374,4,3,2004,2003,8,2,847,847.0,434.0,2.0,1928,7,CollgCr,Gd,Ex,Gd,Fin,BuiltIn,WD,219500.0
375,87,59,1950,1922,4,0,904,683.0,0.0,0.0,904,1,Edwards,Fa,Gd,Fa,Unf,Unbuilt,WD,61000.0
376,10,10,1996,1996,5,1,914,870.0,576.0,2.0,914,5,CollgCr,Gd,Ex,TA,Unf,Detchd,WD,148000.0
377,3,2,2005,2004,8,3,1580,1580.0,610.0,2.0,2466,8,Somerst,Gd,Ex,Gd,RFn,Attchd,WD,340000.0
378,0,0,2010,2010,8,1,1856,1856.0,834.0,3.0,1856,9,StoneBr,Ex,Ex,Ex,Fin,Attchd,New,394432.0
379,9,9,2000,2000,7,2,1007,982.0,463.0,2.0,1800,6,Gilbert,Gd,Ex,TA,Fin,Attchd,WD,179000.0
380,86,60,1950,1924,6,2,1026,1026.0,308.0,1.0,1691,5,SWISU,TA,TA,Gd,Unf,Detchd,WD,127000.0
381,0,0,2006,2006,5,2,1301,1293.0,572.0,2.0,1301,7,Somerst,Gd,Ex,Gd,RFn,Attchd,New,187750.0
382,1,1,2006,2006,8,2,939,939.0,639.0,2.0,1797,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,213500.0
383,81,59,1950,1928,5,1,784,784.0,360.0,2.0,784,6,SawyerW,Fa,TA,TA,Unf,Detchd,WD,76000.0
384,15,15,1992,1992,9,2,1079,1580.0,501.0,2.0,1953,6,ClearCr,Gd,Ex,Gd,Fin,Attchd,WD,240000.0
385,6,5,2005,2004,6,2,1269,1256.0,430.0,2.0,1269,8,Blmngtn,Gd,Ex,Gd,Fin,Attchd,WD,192000.0
386,96,10,1996,1910,8,1,658,658.0,0.0,0.0,1184,5,Edwards,TA,TA,TA,Unf,Unbuilt,WD,81000.0
387,33,33,1976,1976,6,1,1125,1041.0,352.0,1.0,1125,6,Edwards,TA,Ex,TA,Unf,Detchd,WD,125000.0
388,9,8,2000,1999,6,2,1479,1468.0,577.0,2.0,1479,7,CollgCr,Gd,Ex,Gd,RFn,Attchd,WD,191000.0
389,1,0,2008,2007,9,2,1742,1682.0,846.0,3.0,2332,10,NridgHt,Ex,Ex,Ex,Fin,BuiltIn,New,426000.0
390,108,58,1950,1900,7,1,961,861.0,384.0,1.0,1367,5,Edwards,TA,Ex,TA,Unf,Detchd,WD,119000.0
391,8,7,2002,2001,7,2,804,804.0,560.0,2.0,1961,6,Mitchel,Ex,Ex,Gd,Fin,BuiltIn,WD,215000.0
392,48,48,1959,1959,5,1,882,0.0,294.0,1.0,882,5,NAmes,None,TA,TA,RFn,Attchd,WD,106500.0
393,65,56,1950,1941,4,1,788,788.0,0.0,0.0,788,4,BrkSide,TA,TA,TA,Unf,Unbuilt,WD,100000.0
394,67,57,1950,1940,5,1,735,735.0,240.0,1.0,1034,5,OldTown,TA,Gd,TA,Unf,Detchd,WD,109000.0
395,54,54,1956,1956,6,1,1144,1144.0,596.0,1.0,1144,5,Edwards,TA,TA,TA,Unf,Attchd,WD,129000.0
